material_uri,material_name,primary_category,secondary_category,rdfs_comment,description
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Acoustic_Ceiling_Tile_24_x_24,Acoustic Ceiling Tile 24 x 24,Ceiling,Ceiling,Tile used for sound absorption in ceilings.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Acoustic_Ceiling_Tile_24_x_48,Acoustic Ceiling Tile 24 x 48,Ceiling,AcousticCeilingTile,Ceiling tile designed for sound absorption.,Basic structural asset.
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Acrylic_Clear,Acrylic Clear,Plastic,Thermoplastic,Transparent synthetic polymer material.,"Cast acrylic, average values"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Air,Air,Gas,Gas,Gaseous substance present in the atmosphere.,"Air, properties at atmospheric pressure"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminium,Aluminium,Metal,Aluminum,Lightweight and corrosion-resistant metal.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_1100H14,Aluminum 1100H14,Metal,Aluminum,Aluminum alloy with specific characteristics.,"Pure aluminum, strain hardened"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_1100O,Aluminum 1100O,Metal,Aluminum,Annealed aluminum alloy with specific properties.,"Pure aluminum, soft, annealed"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_2014T4,Aluminum 2014T4,Metal,Aluminum,Heat-treated aluminum alloy with specific properties.,"Aluminum copper alloy, heat treated, aged"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_2014T6,Aluminum 2014T6,Metal,Aluminum,Heat-treated aluminum alloy with specific properties.,"Aluminum copper alloy, heat treated, artifically aged"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_3003H12,Aluminum 3003H12,Metal,Aluminum,Aluminum alloy with specific characteristics.,"Aluminum manganese alloy, strain hardened"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_5005,Aluminum 5005,Metal,Aluminum,Aluminum alloy with specific properties.,"Aluminum magnesium alloy, strain hardened"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_5052,Aluminum 5052,Metal,Aluminum,Aluminum alloy with specific properties.,"Aluminum magnesium alloy, strain hardened"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_7075,Aluminum 7075,Metal,Aluminum,High-strength aluminum alloy with specific properties.,"Aluminum zinc alloy, annealed"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_Anodized_Blue,Aluminum Anodized Blue,Metal,Aluminum,Aluminum with blue-tinted anodized finish.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_Anodized_Bronze,Aluminum Anodized Bronze,Metal,Aluminum,Aluminum with bronze-tinted anodized finish.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_Anodized_Red,Aluminum Anodized Red,Metal,Aluminum,Aluminum with red-tinted anodized finish.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Aluminum_Anodized_Silver,Aluminum Anodized Silver,Metal,Aluminum,Aluminum with silver-tinted anodized finish.,"Aluminum magnesium silicon alloy, 6061"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Argon,Argon,Gas,Gas,Inert gas used to enhance thermal insulation in windows.,"Argon, properties at atmospheric pressure"
http://www.BimToolsMaterialLibrary.com/BimBuildingMaterialsOntology#Ash,Ash,Wood,HardWood,HardWood with a distinctive grain pattern.,White Ash
